cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,concrete_compressive_strength,,w/c,f/c,age,concrete_compressive_strength
231.8,0,121.6,174,6.7,1056.4,778.5,14,26.77,,0.58,0.74,14,42.22
300,0,0,184,0,1075,795,28,26.85,,0.58,0.74,28,52.5
153,239,0,200,6,1002,684,28,26.86,,0.58,0.74,56,60.32
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.86,,0.58,0.74,100,66.42
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91,,0.58,0.74,3,23.8
148,175,0,171,2,1000,828,28,26.92,,0.58,0.74,14,38.77
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92,,0.58,0.74,28,51.33
254,0,0,198,0,968,863,90,26.94,,0.58,0.74,56,56.85
136,196,98,199,6,847,783,28,26.97,,0.58,0.74,100,58.61
339,0,0,197,0,968,781,14,27.04,,0.59,0.74,3,21.91
250,0,95.7,191.8,5.3,948.9,857.2,28,27.22,,0.59,0.74,14,36.99
164,163,128,197,8,961,641,28,27.23,,0.59,0.74,28,47.4
350,0,0,203,0,974,775,28,27.34,,0.59,0.74,56,51.96
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42,,0.59,0.74,100,56.74
307,0,0,193,0,968,812,28,27.53,,0.72,0.74,3,17.57
254,0,0,198,0,968,863,180,27.63,,0.72,0.74,14,33.73
233.8,0,94.6,197.9,4.6,947,852.2,56,27.66,,0.72,0.74,28,40.15
159,149,116,175,15,953,720,28,27.68,,0.72,0.74,56,46.64
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68,,0.72,0.74,100,50.08
393,0,0,192,0,940.6,785.6,7,27.74,,0.72,0.74,3,17.37
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77,,0.72,0.74,14,33.7
410,0,0,220,4,1090,615,7,27.80,,0.72,0.74,28,45.94
310,0,0,192,0,1012,830,28,27.83,,0.72,0.74,56,51.43
133,200,0,192,0,927.4,839.2,28,27.87,,0.72,0.74,100,59.3
385,0,0,186,0,966,763,14,27.92,,0.58,0.74,3,30.45
310,0,0,192,0,970,850,28,27.92,,0.58,0.74,14,47.71
181.9,272.8,0,185.7,0,1012.4,714.3,28,27.94,,0.58,0.74,28,63.14
198.6,132.4,0,192,0,978.4,825.5,28,28.02,,0.58,0.74,56,66.82
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.10,,0.58,0.74,100,66.95
139.6,209.4,0,192,0,1047,806.9,28,28.24,,0.65,0.74,3,27.42
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.30,,0.65,0.74,14,35.96
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47,,0.65,0.74,28,55.51
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.60,,0.65,0.74,56,61.99
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63,,0.65,0.74,100,63.53
237,92,71,247,6,853,695,28,28.63,,0.72,0.77,3,18.02
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63,,0.72,0.77,14,38.6
249.1,0,98.8,158.1,12.8,987.8,889,14,28.68,,0.72,0.77,28,52.2
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.80,,0.72,0.77,56,53.96
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94,,0.72,0.77,100,56.63
155,184,143,194,9,880,699,28,28.99,,0.72,0.74,3,15.34
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99,,0.72,0.74,14,26.05
375,93.8,0,126.6,23.4,852.1,992.6,3,29.00,,0.72,0.74,28,30.22
136,162,126,172,10,923,764,28,29.07,,0.72,0.74,56,37.27
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07,,0.72,0.74,100,46.23
145,116,119,184,5.7,833,880,28,29.16,,0.57,0.76,3,16.28
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22,,0.57,0.76,14,25.62
108.3,162.4,0,203.5,0,938.2,849,90,29.23,,0.57,0.76,28,31.97
296,0,0,192,0,1085,765,90,29.39,,0.57,0.76,56,36.3
156,178,187,221,7,854,614,28,29.41,,0.57,0.76,100,43.06
222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45,,0.28,0.88,28,67.57
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55,,0.3,0.58,28,57.23
491,26,123,201,3.9,822,699,3,29.55,,0.46,0.66,28,81.75
213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59,,0.39,0.61,28,64.02
322,0,0,203,0,974,800,180,29.59,,0.37,0.72,28,78.8
251.4,0,118.3,188.5,5.8,1028.4,757.7,28,29.65,,0.31,1,28,41.37
143,169,143,191,8,967,643,28,29.72,,0.33,1,28,60.28
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.73,,0.35,0.78,28,56.83
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75,,0.34,0.93,28,51.02
254,0,0,198,0,968,863,365,29.79,,0.41,0.85,28,55.55
144,170,133,192,8,814,805,28,29.87,,0.4,0.55,28,44.13
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87,,0.44,0.55,28,39.38
141.3,212,0,203.5,0,971.8,748.5,28,29.89,,0.42,0.66,28,55.65
251.4,0,118.3,188.5,5.8,1028.4,757.7,14,29.93,,0.5,0.66,28,47.28
350,0,0,203,0,974,775,56,29.98,,0.57,0.66,28,44.33
237.5,237.5,0,228,0,932,594,28,30.08,,0.43,0.62,28,52.3
305,0,100,196,10,959,705,28,30.12,,0.95,0.58,28,49.25
304.8,0,99.6,196,9.8,959.4,705.2,28,30.12,,0.31,1,28,41.37
400,0,0,187,0,1025,745,7,30.14,,1.27,1.06,28,29.16
218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22,,1.14,1.07,28,39.4
238.1,0,94.1,186.7,7,949.9,847,28,30.23,,0.81,0.78,28,39.3
332.5,142.5,0,228,0,932,594,7,30.28,,0.64,0.93,28,67.87
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39,,0.34,0.63,28,58.52
200,133,0,192,0,965.4,806.2,28,30.44,,0.57,0.66,28,53.58
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45,,0.45,0.62,28,59
325,0,0,184,0,1063,783,28,30.57,,0.59,0.92,28,76.24
162,214,164,202,10,820,680,28,30.65,,0.3,0.63,28,69.84
249.1,0,98.8,158.1,12.8,987.8,889,28,30.85,,0.99,0.9,3,14.4
159,209,161,201,7,848,669,28,30.88,,1.06,0.74,3,19.42
297,0,0,186,0,1040,734,7,30.96,,1.01,0.74,3,20.73
116,173,0,192,0,909.8,891.9,90,31.02,,1.05,0.74,3,14.94
133,210,0,196,3,949,795,28,31.03,,0.91,0.85,3,21.29
410,0,0,220,4,1090,615,28,31.10,,0.95,0.79,3,23.08
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12,,0.98,0.77,3,15.52
322,0,116,196,10,818,813,28,31.18,,0.99,0.74,3,15.82
322.2,0,115.6,196,10.4,817.9,813.4,28,31.18,,0.88,0.74,3,12.55
277,0,0,191,0,968,856,90,31.25,,0.77,0.9,3,8.49
182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27,,0.75,0.74,3,15.61
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35,,0.87,0.9,3,12.18
212,0,124.8,159,7.8,1085.4,799.5,14,31.35,,0.77,0.72,3,11.98
350,0,0,203,0,974,775,90,31.35,,0.99,0.9,14,16.88
385,0,0,186,0,966,763,28,31.35,,1.06,0.74,14,33.09
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38,,1.01,0.74,14,34.24
296,0,107,221,11,819,778,28,31.42,,1.05,0.74,14,31.81
296,0,106.7,221.4,10.5,819.2,778.4,28,31.42,,0.91,0.85,14,29.75
331,0,0,192,0,978,825,28,31.45,,0.95,0.79,14,33.01
230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54,,0.98,0.77,14,32.9
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64,,0.99,0.74,14,29.55
339,0,0,185,0,1060,754,28,31.65,,0.88,0.74,14,19.42
190.3,0,125.2,166.6,9.9,1079,798.9,56,31.72,,0.77,0.9,14,24.66
331,0,0,192,0,1025,821,28,31.74,,0.75,0.74,14,29.59
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81,,0.87,0.9,14,24.28
339,0,0,185,0,1069,754,28,31.84,,0.77,0.72,14,20.73
298,0,107,210,11,880,744,28,31.87,,0.99,0.9,28,26.2
298.2,0,107,209.7,11.1,879.6,744.2,28,31.88,,1.06,0.74,28,46.39
339.2,0,0,185.7,0,1069.2,754.3,28,31.90,,1.01,0.74,28,39.16
376,0,0,214.6,0,1003.5,762.4,28,31.97,,1.05,0.74,28,41.2
333,0,0,192,0,931.2,842.6,28,31.97,,0.91,0.85,28,33.69
424,22,132,178,8.5,882,750,3,32.01,,0.95,0.79,28,38.2
339,0,0,197,0,968,781,28,32.04,,0.98,0.77,28,41.41
255.5,170.3,0,185.7,0,1026.6,724.3,28,32.05,,0.99,0.74,28,37.81
289,0,0,192,0,913.2,895.3,90,32.07,,0.88,0.74,28,24.85
173,116,0,192,0,946.8,856.8,90,32.10,,0.77,0.9,28,27.22
424,22,132,168,8.9,822,750,3,32.11,,0.75,0.74,28,44.64
273,0,90,199,11,931,762,28,32.24,,0.87,0.9,28,37.27
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.25,,0.77,0.72,28,33.27
277,0,0,191,0,968,856,180,32.33,,0.99,0.9,56,36.56
261,100,78,201,9,864,761,28,32.40,,1.06,0.74,56,53.72
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.40,,1.01,0.74,56,48.59
183.9,122.6,0,203.5,0,959.2,800,90,32.53,,1.05,0.74,56,51.72
193.5,290.2,0,185.7,0,998.2,704.3,28,32.63,,0.91,0.85,56,35.85
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66,,0.95,0.79,56,53.77
350,0,0,203,0,974,775,180,32.72,,0.98,0.77,56,53.46
349,0,0,192,0,1047,806,28,32.72,,0.99,0.74,56,48.99
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72,,0.88,0.74,56,31.72
159,187,0,176,11,990,789,28,32.76,,0.77,0.9,56,39.64
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.77,,0.75,0.74,56,51.26
380,95,0,228,0,932,594,7,32.82,,0.87,0.9,56,43.39
160,188,146,203,11,829,710,28,32.84,,0.77,0.72,56,39.27
168,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85,,0.99,0.9,100,37.96
236,157,0,192,0,972.6,749.1,28,32.88,,1.06,0.74,100,55.02
167,75.4,167,164,7.9,1007.3,770.1,14,32.90,,1.01,0.74,100,49.99
307,0,0,193,0,968,812,90,32.92,,1.05,0.74,100,53.66
149,236,0,176,13,847,893,28,32.96,,0.91,0.85,100,37.68
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96,,0.95,0.79,100,56.06
212,141.3,0,203.5,0,973.4,750,28,33.00,,0.98,0.77,100,56.81
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01,,0.99,0.74,100,50.94
332.5,142.5,0,228,0,932,594,28,33.02,,0.88,0.74,100,33.56
290.2,193.5,0,185.7,0,998.2,704.3,28,33.04,,0.77,0.9,100,41.16
157,214,152,200,9,819,704,28,33.05,,0.75,0.74,100,52.96
146,230,0,202,3,827,872,28,33.06,,0.87,0.9,100,44.28
397,0,0,185.7,0,1040.6,734.3,28,33.08,,0.77,0.72,100,40.15
165,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09,,0.36,0.74,28,57.03
237.5,237.5,0,228,0,932,594,90,33.12,,0.36,0.74,28,44.42
122.6,183.9,0,203.5,0,958.2,800.1,90,33.19,,0.36,0.74,28,51.02
500,0,0,200,0,1125,613,7,33.21,,0.36,0.74,28,53.39
251.4,0,118.3,192.9,5.8,1043.6,754.3,28,33.27,,0.36,0.74,3,35.36
132,207,161,179,5,867,736,28,33.30,,0.36,0.74,3,25.02
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31,,0.36,0.74,3,23.35
251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36,,0.36,0.74,7,52.01
425,106.3,0,153.5,16.5,852.1,887.1,3,33.40,,0.36,0.74,7,38.02
425,106.3,0,153.5,16.5,852.1,887.1,3,33.40,,0.36,0.74,7,39.3
425,106.3,0,153.5,16.5,852.1,887.1,3,33.40,,0.36,0.74,56,61.07
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.40,,0.36,0.74,56,56.14
252,97,76,194,8,835,821,28,33.40,,0.36,0.74,56,55.25
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.40,,0.36,0.74,56,54.77
304,140,0,214,6,895,722,28,33.42,,0.41,0.9,28,50.24
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.42,,0.41,0.9,28,46.68
491,26,123,210,3.9,882,699,7,33.49,,0.41,0.9,28,46.68
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,33.54,,0.41,0.9,3,22.75
190.3,0,125.2,166.6,9.9,1079,798.9,100,33.56,,0.41,0.9,3,25.51
349,0,0,192,0,1056,809,28,33.61,,0.41,0.9,3,34.77
157,236,0,192,0,935.4,781.2,28,33.66,,0.41,0.9,7,36.84
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69,,0.41,0.9,7,45.9
310,143,111,168,22,914,651,28,33.69,,0.41,0.9,7,41.67
213.5,0,174.2,154.6,11.7,1052.3,775.5,14,33.70,,0.41,0.9,56,56.34
277,0,0,191,0,968,856,360,33.70,,0.41,0.9,56,47.97
262,111,86,195,5,895,733,28,33.72,,0.41,0.9,56,61.46
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.72,,0.41,0.9,28,44.03
231.8,0,121.6,174,6.7,1056.4,778.5,28,33.73,,0.41,0.9,28,55.45
213.7,0,174.7,154.8,10.2,1053.5,776.4,14,33.73,,0.43,0.79,28,55.55
162,190,148,179,19,838,741,28,33.76,,0.41,0.85,28,57.92
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76,,0.43,0.79,3,25.61
525,0,0,189,0,1125,613,3,33.80,,0.43,0.79,7,33.49
255,99,77,189,6,919,749,28,33.80,,0.43,0.79,56,59.59
255.3,98.8,77,188.6,6.5,919,749.3,28,33.80,,0.41,0.85,3,29.55
251.8,0,99.9,146.1,12.4,1006,899.8,28,33.94,,0.41,0.85,7,37.92
166.8,250.2,0,203.5,0,975.6,692.6,28,33.95,,0.41,0.85,56,61.86
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96,,0.42,0.91,28,62.05
212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.20,,0.42,0.85,3,32.01
178,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24,,0.4,0.91,28,72.1
350,0,0,186,0,1050,770,28,34.29,,0.42,0.91,7,39
374,189.2,0,170.1,10.1,926.1,756.7,3,34.40,,0.42,0.91,56,65.7
307,0,0,193,0,968,812,180,34.49,,0.4,0.91,3,32.11
233.8,0,94.6,197.9,4.6,947,852.2,100,34.56,,0.4,0.91,7,40.29
480,0,0,192,0,936.2,712.2,7,34.57,,0.4,0.91,56,74.36
290.4,0,96.2,168.1,9.4,961.2,865,14,34.67,,1.02,0.85,28,21.97
310,0,0,192,0,970,850,90,34.68,,1.02,0.85,3,9.85
290.4,0,96.2,168.1,9.4,961.2,865,28,34.74,,1.02,0.85,7,15.07
387,20,94,157,11.6,938,845,3,34.77,,1.02,0.85,56,23.25
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.90,,0.63,0.95,28,43.73
427.5,47.5,0,228,0,932,594,7,35.08,,0.63,0.95,3,13.4
337.9,189,0,174.9,9.5,944.7,755.8,7,35.10,,0.63,0.95,7,24.13
339,0,0,197,0,968,781,90,35.17,,0.63,0.95,56,44.52
295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23,,0.43,0.85,28,62.94
140,164,128,237,6,869,656,28,35.23,,0.43,0.85,28,59.49
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23,,0.43,0.85,3,25.12
362.6,189,0,164.9,11.6,944.7,755.8,3,35.30,,0.43,0.85,3,23.64
362.6,189,0,164.9,11.6,944.7,755.8,3,35.30,,0.43,0.85,7,35.75
362.6,189,0,164.9,11.6,944.7,755.8,3,35.30,,0.43,0.85,7,38.61
362.6,189,0,164.9,11.6,944.7,755.8,3,35.30,,0.43,0.85,56,68.75
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.31,,0.43,0.85,56,66.78
190.7,0,125.4,162.1,7.8,1090,804,56,35.34,,0.5,0.86,28,23.85
230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34,,0.66,0.98,90,32.07
446,24,79,162,11.6,967,712,3,35.36,,0.66,0.98,3,11.65
181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57,,0.49,0.84,3,19.2
359,19,141,154,10.9,942,801,7,35.75,,0.49,0.84,90,48.85
310,0,0,192,0,1012,830,90,35.76,,0.49,0.84,28,39.6
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85,,0.4,0.76,28,43.94
298,0,107,164,13,953,784,28,35.86,,0.4,0.76,7,34.57
298.1,0,107.5,163.6,12.8,953.2,784,28,35.87,,0.4,0.76,90,54.32
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96,,0.4,0.76,3,24.4
307,0,0,193,0,968,812,365,36.15,,0.58,0.91,3,15.62
237.5,237.5,0,228,0,932,594,180,36.25,,0.75,1.06,90,21.86
425,106.3,0,151.4,18.6,936,803.7,3,36.30,,0.75,1.06,7,10.22
376,0,0,214.6,0,1003.5,762.4,56,36.30,,0.66,0.98,7,14.6
152,178,139,168,18,944,695,28,36.35,,0.75,1.06,28,18.75
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35,,0.58,0.91,28,31.97
140,133,103,200,7,916,753,28,36.44,,0.58,0.91,7,23.4
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44,,0.66,0.98,28,25.57
380,95,0,228,0,932,594,28,36.45,,0.58,0.91,90,41.68
339,0,0,197,0,968,781,180,36.45,,0.49,0.84,7,27.74
165,0,143.6,163.8,0,1005.6,900.9,56,36.56,,0.75,1.06,3,8.2
133,200,0,192,0,927.4,839.2,90,36.59,,1.17,0.71,7,9.62
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64,,0.78,0.71,7,25.42
313,0,113,178,8,1002,689,28,36.80,,0.78,0.71,7,15.69
313.3,0,113,178.5,8,1001.9,688.7,28,36.80,,1.02,0.71,28,27.94
387,20,94,157,14.3,938,845,7,36.84,,0.96,0.71,28,32.63
397,0,0,186,0,1040,734,28,36.94,,0.73,0.71,7,17.24
500,0,0,200,0,1125,613,14,36.94,,0.68,0.71,7,19.77
250.2,166.8,0,203.5,0,977.6,694.1,28,36.96,,0.78,0.71,28,39.44
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97,,0.84,0.71,28,25.75
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,36.99,,0.47,0.71,28,33.08
273,105,82,210,9,904,680,28,37.17,,0.49,0.71,7,24.07
272.8,105.1,81.8,209.7,9,904,679.7,28,37.17,,0.88,0.71,7,21.82
331,0,0,192,0,978,825,90,37.23,,1.17,0.71,28,21.07
321,0,128,182,11,870,780,28,37.26,,0.63,0.71,7,14.84
218.9,0,124.1,158.5,11.3,1078.7,794.9,56,37.27,,0.73,0.71,28,32.05
194.7,0,100.5,170.2,7.5,998,901.8,28,37.27,,0.91,0.71,7,11.96
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.27,,0.47,0.71,7,25.45
310,0,0,192,0,970,850,180,37.33,,0.49,0.71,28,22.49
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34,,0.63,0.71,28,25.22
156,243,0,180,11,1022,698,28,37.36,,0.81,0.71,28,39.7
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36,,0.84,0.71,7,13.09
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.40,,0.59,0.71,28,38.7
382,0,0,186,0,1047,739,28,37.42,,1.37,0.71,7,7.51
382,0,0,185,0,1047,739,28,37.42,,0.78,0.71,28,17.58
427.5,47.5,0,228,0,932,594,28,37.43,,0.55,0.71,7,21.18
150,237,0,174,12,1069,675,28,37.43,,1.37,0.71,28,18.2
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43,,0.96,0.71,7,17.2
382.5,0,0,185.7,0,1047.8,739.3,28,37.44,,0.91,0.71,28,22.63
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68,,0.64,0.71,7,21.86
332.5,142.5,0,228,0,932,594,90,37.72,,1.02,0.71,7,12.37
475,118.8,0,181.1,8.9,852.1,781.5,3,37.80,,1.09,0.71,28,25.73
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81,,0.88,0.71,28,37.81
210.7,316.1,0,185.7,0,977,689.3,28,37.81,,0.81,0.71,7,21.92
331,0,0,192,0,1025,821,90,37.91,,0.64,0.71,28,33.04
166,260,0,183,13,859,827,28,37.91,,0.49,0.71,7,14.54
491,26,123,201,3.9,822,699,7,37.92,,0.78,0.71,28,26.91
166,259.7,0,183.2,12.7,858.8,826.8,28,37.92,,1,0.71,7,8
165,0,143.6,163.8,0,1005.6,900.9,100,37.96,,0.55,0.71,28,31.9
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38.00,,0.78,0.71,7,10.34
446,24,79,162,11.6,967,712,7,38.02,,0.74,0.71,28,19.77
198.6,132.4,0,192,0,978.4,825.5,90,38.07,,0.49,0.71,28,37.44
310,0,0,192,0,970,850,360,38.11,,0.74,0.71,7,11.48
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.20,,0.59,0.71,7,24.44
375,0,0,186,0,1038,758,28,38.21,,1,0.71,28,17.6
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22,,1.09,0.71,7,10.73
250,0,95.7,187.4,5.5,956.9,861.2,56,38.33,,0.68,0.71,28,31.38
237.5,237.5,0,228,0,932,594,270,38.41,,0.58,0.81,3,13.22
314,0,113,170,10,925,783,28,38.46,,0.58,0.81,7,20.97
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46,,0.58,0.81,14,27.04
212,0,124.8,159,7.8,1085.4,799.5,28,38.50,,0.58,0.81,28,32.04
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56,,0.58,0.81,90,35.17
475,0,0,228,0,932,594,7,38.60,,0.58,0.81,180,36.45
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.60,,0.58,0.81,365,38.89
359,19,141,154,10.9,942,801,7,38.61,,0.82,0.91,3,6.47
326.5,0,137.9,199,10.8,801.1,792.5,28,38.63,,0.82,0.91,14,12.84
316.1,210.7,0,185.7,0,977,689.3,28,38.70,,0.82,0.91,28,18.42
310,0,0,192,0,1012,830,120,38.70,,0.82,0.91,90,21.95
275.1,0,121.4,159.5,9.9,1053.6,777.5,14,38.77,,0.82,0.91,180,24.1
288,192,0,192,0,932,717.8,28,38.80,,0.82,0.91,365,25.08
339,0,0,197,0,968,781,365,38.89,,0.69,0.88,14,21.26
237.5,237.5,0,228,0,932,594,365,39.00,,0.69,0.88,28,25.97
424,22,132,178,8.5,822,750,7,39.00,,0.69,0.88,3,11.36
331,0,0,192,0,978,825,180,39.00,,0.69,0.88,90,31.25
374,0,0,190,7,1013,730,28,39.05,,0.69,0.88,180,32.33
374.3,0,0,190.2,6.7,1013.2,730.4,28,39.06,,0.69,0.88,360,33.7
397,0,0,185,0,1040,734,28,39.09,,0.78,0.89,3,9.31
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15,,0.78,0.89,90,26.94
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16,,0.78,0.89,180,27.63
168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23,,0.78,0.89,365,29.79
251.4,0,118.3,192.9,5.8,1043.6,754.3,56,39.27,,0.63,0.84,180,34.49
475,0,0,228,0,932,594,28,39.29,,0.63,0.84,365,36.15
439,177,0,186,11.1,884.9,707.9,3,39.30,,0.63,0.84,3,12.54
234,156,0,189,5.9,981,760,28,39.30,,0.63,0.84,28,27.53
446,24,79,162,11.6,967,712,7,39.30,,0.63,0.84,90,32.92
192,288,0,192,0,929.8,716.1,28,39.32,,0.82,0.91,7,9.99
139.6,209.4,0,192,0,1047,806.9,90,39.36,,0.9,0.75,7,7.84
450.1,50,0,200,3,1124.4,613.2,28,39.38,,0.9,0.75,28,12.25
331,0,0,192,0,1025,821,120,39.38,,0.8,0.75,7,11.17
160,128,122,182,6.4,824,879,28,39.40,,0.8,0.75,28,17.34
266,112,87,178,10,910,745,28,39.42,,0.57,0.74,7,17.54
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42,,0.57,0.74,28,30.57
239.6,359.4,0,185.7,0,941.6,664.3,28,39.44,,0.67,0.74,7,14.2
160,250,0,168,12,1049,688,28,39.45,,0.67,0.74,28,24.5
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.46,,0.61,0.74,7,15.58
349,0,0,192,0,1047,806,90,39.49,,0.61,0.74,28,26.85
393,0,0,192,0,940,758,28,39.58,,0.5,0.73,7,26.06
238.1,0,94.1,186.7,7,949.9,847,56,39.59,,0.5,0.73,28,38.21
393,0,0,192,0,940.6,785.6,28,39.60,,0.47,0.73,28,43.7
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61,,0.47,0.73,7,30.14
250,0,95.7,191.8,5.3,948.9,857.2,56,39.64,,0.73,0.75,7,12.73
141.3,212,0,203.5,0,971.8,748.5,90,39.66,,0.73,0.75,28,20.87
228,342.1,0,185.7,0,955.8,674.3,28,39.70,,0.53,0.73,7,20.28
212,141.3,0,203.5,0,973.4,750,90,39.70,,0.53,0.73,28,34.29
332.5,142.5,0,228,0,932,594,180,39.78,,1,0.65,7,19.54
162,207,172,216,10,822,638,28,39.84,,0.81,0.71,90,47.71
295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94,,1.22,0.84,90,43.38
318,0,126,210,6,861,737,28,40.06,,1.44,0.77,28,29.89
317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.06,,1.22,0.71,3,6.9
213.7,0,174.7,154.8,10.2,1053.5,776.4,28,40.15,,1.66,0.84,90,33.19
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15,,1.11,0.83,3,4.9
469,117.2,0,137.8,32.2,852.1,840.5,3,40.20,,1.88,1.06,3,4.57
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23,,1.88,1.06,90,25.46
332.5,142.5,0,228,0,932,594,270,40.27,,1.66,0.84,28,24.29
424,22,132,168,8.9,822,750,7,40.29,,1.22,0.71,28,33.95
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39,,0.96,0.84,3,11.41
380,95,0,228,0,932,594,90,40.56,,1.88,0.91,28,20.59
190.7,0,125.4,162.1,7.8,1090,804,100,40.57,,0.67,0.65,7,25.89
389.9,189,0,145.9,22,944.7,755.8,3,40.60,,1.88,0.91,90,29.23
349,0,0,192,0,1056,809,90,40.66,,1.66,0.98,90,31.02
326,0,138,199,11,801,792,28,40.68,,1.44,0.77,7,10.39
222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71,,1.22,0.84,28,33.66
380,95,0,228,0,932,594,180,40.76,,1.44,0.91,28,27.87
190,190,0,228,0,932,670,28,40.86,,0.81,0.71,7,19.35
